6200,164486700,6200,1093800,6200,153883300,,quick Sort Time(already sorted), time shuffled, time reversed
6300,179049700,6300,1672100,6300,148963100,,quick Sort Time(already sorted), time shuffled, time reversed
6400,181131600,6400,2118900,6400,167416400,,quick Sort Time(already sorted), time shuffled, time reversed
6500,175762500,6500,1194500,6500,182433000,,quick Sort Time(already sorted), time shuffled, time reversed
6600,182949900,6600,1531000,6600,165582600,,quick Sort Time(already sorted), time shuffled, time reversed
6700,186584100,6700,1560500,6700,184112000,,quick Sort Time(already sorted), time shuffled, time reversed
6800,203968200,6800,1347100,6800,176216700,,quick Sort Time(already sorted), time shuffled, time reversed
6900,201834100,6900,1449000,6900,195595900,,quick Sort Time(already sorted), time shuffled, time reversed
7000,224268900,7000,1314200,7000,207998500,,quick Sort Time(already sorted), time shuffled, time reversed
7100,223765300,7100,1304000,7100,193225400,,quick Sort Time(already sorted), time shuffled, time reversed
7200,233767100,7200,2109700,7200,208843900,,quick Sort Time(already sorted), time shuffled, time reversed
7300,237758200,7300,1244200,7300,209905500,,quick Sort Time(already sorted), time shuffled, time reversed
7400,240425000,7400,1369200,7400,221485300,,quick Sort Time(already sorted), time shuffled, time reversed
7500,243712300,7500,1408300,7500,219738100,,quick Sort Time(already sorted), time shuffled, time reversed
7600,272719600,7600,1299000,7600,249206500,,quick Sort Time(already sorted), time shuffled, time reversed
7700,275429600,7700,1900600,7700,252430300,,quick Sort Time(already sorted), time shuffled, time reversed
7800,272815900,7800,1525000,7800,245981400,,quick Sort Time(already sorted), time shuffled, time reversed
7900,274399400,7900,1568200,7900,249448100,,quick Sort Time(already sorted), time shuffled, time reversed
8000,316747600,8000,1487000,8000,259448300,,quick Sort Time(already sorted), time shuffled, time reversed
8100,305484300,8100,1485900,8100,262946900,,quick Sort Time(already sorted), time shuffled, time reversed
8200,319463000,8200,3056700,8200,281616800,,quick Sort Time(already sorted), time shuffled, time reversed
8300,335630600,8300,2020700,8300,281348900,,quick Sort Time(already sorted), time shuffled, time reversed
8400,318170500,8400,1706300,8400,286518800,,quick Sort Time(already sorted), time shuffled, time reversed
8500,335532800,8500,1860200,8500,316800500,,quick Sort Time(already sorted), time shuffled, time reversed
8600,341607100,8600,1592500,8600,303522400,,quick Sort Time(already sorted), time shuffled, time reversed
8700,366730900,8700,1710600,8700,312164800,,quick Sort Time(already sorted), time shuffled, time reversed
8800,383904300,8800,2065500,8800,328511000,,quick Sort Time(already sorted), time shuffled, time reversed
8900,388382500,8900,2087900,8900,326169500,,quick Sort Time(already sorted), time shuffled, time reversed
9000,385364900,9000,2044300,9000,334882200,,quick Sort Time(already sorted), time shuffled, time reversed
9100,395530400,9100,1897600,9100,392884100,,quick Sort Time(already sorted), time shuffled, time reversed
9200,407588300,9200,2000700,9200,368265600,,quick Sort Time(already sorted), time shuffled, time reversed
