3600,56100,3600,2,3600,103632200,3600,3584,3600,89594900,3600,3602,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
3700,56400,3700,2,3700,109859000,3700,3644,3700,93863200,3700,3702,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
3800,56900,3800,2,3800,112054700,3800,3724,3800,99879400,3800,3802,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
3900,61900,3900,2,3900,119615000,3900,3866,3900,107751100,3900,3902,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4000,65100,4000,2,4000,129219000,4000,3994,4000,111873200,4000,4002,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4100,62900,4100,2,4100,137108000,4100,4068,4100,119715500,4100,4102,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4200,62600,4200,2,4200,149014600,4200,4168,4200,139628200,4200,4202,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4300,75800,4300,2,4300,156723500,4300,4232,4300,130323700,4300,4302,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4400,66500,4400,2,4400,188245700,4400,4322,4400,145480500,4400,4402,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4500,79500,4500,2,4500,171295100,4500,4494,4500,153138800,4500,4502,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4600,68600,4600,2,4600,176571400,4600,4584,4600,156026300,4600,4602,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4700,74200,4700,2,4700,187922600,4700,4648,4700,161561600,4700,4702,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4800,87300,4800,2,4800,191514000,4800,4764,4800,165570800,4800,4802,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4900,80700,4900,2,4900,211128700,4900,4846,4900,178910800,4900,4902,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5000,80500,5000,2,5000,217256400,5000,4966,5000,184123400,5000,5002,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5100,98100,5100,2,5100,219361300,5100,5092,5100,192270800,5100,5102,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5200,80200,5200,2,5200,225233400,5200,5096,5200,229977900,5200,5202,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5300,84200,5300,2,5300,234707800,5300,5198,5300,211635400,5300,5302,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5400,87800,5400,2,5400,254757400,5400,5368,5400,220609300,5400,5402,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5500,88600,5500,2,5500,268652600,5500,5362,5500,247321600,5500,5502,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5600,106200,5600,2,5600,277162700,5600,5508,5600,252819500,5600,5602,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5700,94100,5700,2,5700,293262500,5700,5646,5700,271057100,5700,5702,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5800,102300,5800,2,5800,299142800,5800,5596,5800,256352600,5800,5802,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5900,110700,5900,2,5900,328422100,5900,5858,5900,264734600,5900,5902,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6000,104800,6000,2,6000,304409100,6000,5972,6000,266547800,6000,6002,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6100,101400,6100,2,6100,315481400,6100,6024,6100,277182500,6100,6102,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
