0,3200,0,0,0,1400,0,0,0,2100,0,0,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
3500,23700,3500,3499,3500,113650900,3500,12036560,3500,101598600,3500,12246500,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
3600,74900,3600,3599,3600,120593300,3600,12650485,3600,108222400,3600,12956400,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
3700,31800,3700,3699,3700,205796700,3700,13641912,3700,111058800,3700,13686300,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
3800,33900,3800,3799,3800,147463200,3800,14105687,3800,121747400,3800,14436200,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
3900,27300,3900,3899,3900,156340000,3900,15163211,3900,132401500,3900,15206100,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4000,29300,4000,3999,4000,163486800,4000,15660084,4000,143471100,4000,15996000,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4100,29800,4100,4099,4100,176868700,4100,16109070,4100,171267600,4100,16805900,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4200,35900,4200,4199,4200,202768600,4200,17278885,4200,131809600,4200,17635800,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4300,33200,4300,4299,4300,165379300,4300,17548518,4300,164796000,4300,18485700,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4400,58700,4400,4399,4400,229878400,4400,19113655,4400,159555800,4400,19355600,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4500,36900,4500,4499,4500,197010000,4500,19701121,4500,158385800,4500,20245500,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4600,55200,4600,4599,4600,204432100,4600,20378169,4600,171859300,4600,21155400,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4700,36500,4700,4699,4700,215498000,4700,21906738,4700,186644600,4700,22085300,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4800,41800,4800,4799,4800,213641900,4800,22670476,4800,214103200,4800,23035200,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
4900,100800,4900,4899,4900,222597700,4900,23353533,4900,189679100,4900,24005100,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5000,69900,5000,4999,5000,240015000,5000,24725054,5000,217032300,5000,24995000,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5100,46400,5100,5099,5100,289594100,5100,25851930,5100,272960100,5100,26004900,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5200,50200,5200,5199,5200,374932500,5200,26946417,5200,370488600,5200,27034800,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5300,78000,5300,5299,5300,485306000,5300,27560099,5300,268331200,5300,28084700,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5400,46700,5400,5399,5400,381550400,5400,28139588,5400,305365600,5400,29154600,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5500,58700,5500,5499,5500,328037800,5500,30140019,5500,265862900,5500,30244500,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5600,51400,5600,5599,5600,313024900,5600,31096846,5600,272130900,5600,31354400,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5700,57700,5700,5699,5700,325576600,5700,32039778,5700,283672500,5700,32484300,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5800,54700,5800,5799,5800,328911400,5800,32984712,5800,306288400,5800,33634200,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
5900,80600,5900,5899,5900,352442600,5900,33506320,5900,416613400,5900,34804100,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6000,118800,6000,5999,6000,415408500,6000,35340109,6000,441439300,6000,35994000,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6100,81800,6100,6099,6100,443104500,6100,36715980,6100,395302700,6100,37203900,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6200,53100,6200,6199,6200,388362000,6200,37962676,6200,345665200,6200,38433800,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6300,68800,6300,6299,6300,436402200,6300,39173481,6300,409129500,6300,39683700,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6400,60600,6400,6399,6400,478821500,6400,40576059,6400,421275300,6400,40953600,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6500,79200,6500,6499,6500,455098300,6500,41957544,6500,391601200,6500,42243500,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6600,109500,6600,6599,6600,823026000,6600,43461014,6600,782256000,6600,43553400,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6700,72700,6700,6699,6700,792258200,6700,44280390,6700,759551600,6700,44883300,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6800,195400,6800,6799,6800,850806400,6800,45716476,6800,684805600,6800,46233200,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
6900,139700,6900,6899,6900,1083141800,6900,46754523,6900,673777600,6900,47603100,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7000,139200,7000,6999,7000,817536700,7000,48923010,7000,694759200,7000,48993000,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7100,128700,7100,7099,7100,897246500,7100,50118940,7100,821703000,7100,50402900,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
